,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
M2,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666
M3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
M4,0.5,0.5,0.5,0.5,0.3333333333333333
M5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5
